GeneID	GSM3021797	GSM3021798	GSM3021799	GSM3021800	GSM3021801	GSM3021802
ENSG00000290825	0	0	0	0	1	0
ENSG00000223972	0	0	0	0	0	0
ENSG00000227232	42	31	22	41	42	43
ENSG00000278267	1	2	0	0	0	1
ENSG00000243485	0	1	0	0	3	0
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	1	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000290826	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	1	0	0	0	1	0
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	0	2	0	0	2	2
ENSG00000268903	8	4	0	5	1	2
ENSG00000269981	26	17	21	18	38	21
ENSG00000239906	0	0	0	0	0	0
ENSG00000241860	1	8	6	4	1	6
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	0	3	2	23	10	1
ENSG00000279457	118	102	130	85	95	131
ENSG00000273874	0	0	0	0	0	0
ENSG00000292994	3	1	0	1	5	2
ENSG00000228463	0	0	0	0	0	0
ENSG00000286448	0	0	0	0	0	0
ENSG00000236679	0	0	0	0	3	1
ENSG00000236601	0	0	0	0	0	0
ENSG00000290385	97	99	97	67	109	112
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	1	0
ENSG00000237094	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0
ENSG00000250575	1	0	0	2	2	1
ENSG00000278757	0	0	0	0	0	0
ENSG00000293331	9	4	12	8	14	8
ENSG00000235146	0	0	0	0	0	0
ENSG00000225972	153	172	179	430	232	258
ENSG00000225630	1183	1536	1496	1655	1496	2201
ENSG00000237973	3048	3319	3543	3525	4299	5193
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	30	46	41	49	41	46
ENSG00000240409	0	1	1	3	6	2
ENSG00000248527	4883	5811	6785	5859	6066	8734
ENSG00000198744	124	165	157	223	180	224
ENSG00000268663	3	0	1	0	0	0
ENSG00000284662	0	1	0	1	0	0
ENSG00000230021	0	0	0	0	0	0
ENSG00000229376	3	0	1	0	1	0
ENSG00000291215	116	73	86	83	83	171
ENSG00000223181	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0
ENSG00000237491	45	32	37	33	27	42
ENSG00000285268	0	0	0	0	0	0
ENSG00000290784	0	0	1	0	4	0
ENSG00000230092	0	0	0	0	0	0
ENSG00000177757	3	6	3	0	5	3
